file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2266_S5_L001.il.fq	quip	quip	33601595	595944536	13	17.37	392	391	162	165	1
2263_S2_L001.il.fq	quip	quip	24254090	416736936	9.06	11.85	392	391	162	167	1
2273_S12_L001.il.fq	quip	quip	23644932	380317040	8.13	11.29	392	391	162	164	1
2289_S28_L001.il.fq	quip	quip	20373188	388820198	7.56	9.72	392	391	167	174	1
2293_S32_L001.il.fq	plzip	plzip_l9_m	21175231	373086500	396.76	2.29	1034	66	189	183	1
2237_S24_L001.il.fq	plzip	plzip_l9_m	29988774	440977110	452.21	3.48	1036	66	186	185	1
2274_S13_L001.il.fq	quip	quip	27862599	385430632	8.46	12.03	392	391	161	165	1
2250_S37_L001.il.fq	plzip	plzip_l9_m	20553331	338071598	373.33	2.57	1034	66	174	172	1
2257_S44_L001.il.fq	quip	quip	23434604	319269900	6.81	8.97	392	391	164	170	1
2239_S26_L001.il.fq	quip	quip	35474287	357055160	8.37	11.74	393	391	161	164	1
2254_S41_L001.il.fq	quip	quip	25307430	375101846	8.31	11.27	392	391	162	165	1
2232_S19_L001.il.fq	quip	quip	32408662	384683514	8.6	11.45	393	391	162	168	1
2265_S4_L001.il.fq	quip	quip	27787556	418596336	9.27	12	392	391	160	164	1
2235_S22_L001.il.fq	quip	quip	25115625	431585584	8.46	10.35	392	391	167	177	1
2253_S40_L001.il.fq	quip	quip	27664519	392234212	8.3	10.51	392	391	163	172	1
2241_S28_L001.il.fq	quip	quip	32153699	347670024	8.15	10.84	392	392	157	162	1
2262_S1_L001.il.fq	quip	quip	25670366	418410180	8.76	11.41	392	391	164	166	1
2298_S37_L001.il.fq	quip	quip	21776583	274403560	6.09	8.68	392	391	160	159	1
2229_S16_L001.il.fq	plzip	plzip_l9_m	34287421	419881230	430.51	3.31	1037	66	193	197	1
2304_S43_L001.il.fq	quip	quip	17180790	308830288	6.13	8.44	392	391	165	166	1
2220_S7_L001.il.fq	quip	quip	29746063	407466534	8.94	12.41	392	391	159	162	1
2295_S34_L001.il.fq	quip	quip	18868078	319978424	6.45	8.71	392	391	165	167	1
2240_S27_L001.il.fq	quip	quip	31513454	367953250	8.6	11.6	392	392	157	163	1
2252_S39_L001.il.fq	quip	quip	24635035	368794574	7.74	9.93	392	391	165	172	1
2216_S3_L001.il.fq	quip	quip	18870292	347444344	6.7	8.34	392	391	167	178	1
2276_S15_L001.il.fq	quip	quip	27058707	366767194	8.11	10.84	392	391	161	163	1
2218_S5_L001.il.fq	quip	quip	58372456	458633010	13.02	18.61	393	392	150	148	1
2237_S24_L001.il.fq	quip	quip	28131086	440977110	8.81	11.26	392	391	165	174	1
2293_S32_L001.il.fq	quip	quip	20613775	373086500	7.39	9.61	392	391	163	169	1
2229_S16_L001.il.fq	quip	quip	32117161	419881230	8.6	11.32	392	391	167	173	1
2250_S37_L001.il.fq	quip	quip	19535662	338071598	6.69	8.59	392	391	167	172	1
2294_S33_L001.il.fq	quip	quip	18496593	270026346	5.95	7.8	392	391	162	163	1
2301_S40_L001.il.fq	quip	quip	21819839	349276596	7.66	10.19	392	391	160	160	1
2259_S46_L001.il.fq	quip	quip	24037342	350734246	7.33	9.42	392	391	163	171	1
2233_S20_L001.il.fq	quip	quip	30448860	312791608	7.27	10	392	392	160	166	1
2259_S46_L001.il.fq	plzip	plzip_l9_m	25281105	350734246	386.34	2.86	1036	66	178	174	1
2305_S44_L001.il.fq	quip	quip_a	23981325	298045616	25.73	27.9	760	759	116	121	1
2215_S2_L001.il.fq	quip	quip_a	22973313	355812082	26.33	28.18	760	759	121	126	1
2249_S36_L001.il.fq	quip	quip_a	23638771	375702258	28.01	30.35	760	759	120	124	1
2297_S36_L001.il.fq	quip	quip_a	20215750	297605488	24.74	26.15	760	759	117	121	1
2260_S47_L001.il.fq	quip	quip_a	30487699	373982572	30.39	33.85	760	759	119	123	1
2223_S10_L001.il.fq	quip	quip_a	26617091	366792588	29.07	31.32	760	759	120	124	1
2248_S35_L001.il.fq	quip	quip_a	31521547	515301428	39.6	41.77	760	759	119	124	1
2283_S22_L001.il.fq	quip	quip_a	36575423	429575634	37.93	39.94	760	759	118	122	1
2273_S12_L001.il.fq	quip	quip_a	23644940	380317040	29.2	32.2	760	759	119	123	1
2289_S28_L001.il.fq	quip	quip_a	20373196	388820198	28.63	29.66	760	759	120	124	1
2262_S1_L001.il.fq	quip	quip_a	25670374	418410180	32.13	35.6	760	759	119	123	1
2263_S2_L001.il.fq	quip	quip_a	24254098	416736936	30.87	34.21	760	759	120	123	1
2253_S40_L001.il.fq	quip	quip_a	27664527	392234212	30.55	32.85	760	759	120	124	1
2224_S11_L001.il.fq	quip	quip_a	22221178	342963850	26.02	28.08	760	759	120	124	1
2266_S5_L001.il.fq	quip	quip_a	33601603	595944536	45.7	50.8	760	759	118	121	1
2274_S13_L001.il.fq	quip	quip_a	27862607	385430632	32.47	35.11	760	759	118	121	1
2257_S44_L001.il.fq	quip	quip_a	23434612	319269900	24.63	26.76	760	759	119	124	1
2216_S3_L001.il.fq	quip	quip_a	18870300	347444344	25.09	27.47	760	758	121	124	1
2254_S41_L001.il.fq	quip	quip_a	25307438	375101846	29.77	32.69	760	759	119	123	1
2239_S26_L001.il.fq	quip	quip_a	35474295	357055160	34.65	36.53	760	759	116	121	1
2232_S19_L001.il.fq	quip	quip_a	32408670	384683514	31.39	34.16	760	759	120	123	1
2265_S4_L001.il.fq	quip	quip_a	27787564	418596336	32.14	35.2	760	759	120	122	1
2235_S22_L001.il.fq	quip	quip_a	25115633	431585584	32.14	33.95	760	759	121	125	1
